year,colony,exchange,region,country,country.description,product,product.description,type.record,unit,unit.metric,conversion.to.metric,value.local.currency,quantity,value.British.pounds,quantity.metric,unit.value.local.currency,unit.value.British.pounds,notes,sources
1867,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"5,605","18,687","5,605",8476,0.661,0.661,Ivory,BB [1867] 238-239
1868,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"6,309","23,832","6,309",10810,0.584,0.584,Ivory,SABC [1864-1878] 64-65
1869,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"5,267","21,704","5,267",9845,0.535,0.535,Ivory,SABC [1864-1878] 64-65
1870,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,614","10,009","2,614",4540,0.576,0.576,Ivory,SABC [1870-1884] 72-73
1871,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"3,959","16,050","3,959",7280,0.544,0.544,Ivory,SABC [1870-1884] 72-73
1872,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"1,518","5,893","1,518",2673,0.568,0.568,Ivory,SABC [1870-1884] 72-73
1873,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,635","9,304","2,635",4220,0.624,0.624,Ivory,SABC [1870-1884] 72-73
1874,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,155","11,899","2,155",5397,0.399,0.399,Ivory,SABC [1870-1884] 72-73
1875,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"3,161","10,264","3,161",4656,0.679,0.679,Ivory,SABC [1870-1884] 72-73
1876,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,250","7,535","2,250",3418,0.658,0.658,Ivory,SABC [1876-1890] 78-79
1877,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"3,086","11,001","3,086",4990,0.618,0.618,Ivory,SABC [1876-1890] 78-79
1878,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,353,"1,137",353,516,0.684,0.684,Ivory,SABC [1876-1890] 78-79
1879,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,369,"1,410",369,640,0.577,0.577,Ivory,SABC [1876-1890] 78-79
1880,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,226,869,226,394,0.573,0.573,Ivory,SABC [1876-1890] 78-79
1881,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,769,"2,478",769,1124,0.684,0.684,Ivory,SABC [1876-1890] 78-79
1882,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,844,"2,678",844,1215,0.695,0.695,Ivory,SABC [1876-1890] 78-79
1883,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"10,795","42,755","10,795",19393,0.557,0.557,Ivory,SABC [1876-1890] 78-79
1884,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"1,090","4,000","1,090",1814,0.601,0.601,Ivory,SABC [1876-1890] 78-79
1885,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"1,806","5,915","1,806",2683,0.673,0.673,Ivory,SABC [1876-1890] 78-79
1886,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"4,818","13,932","4,818",6319,0.762,0.762,Ivory,SABC [1886-1900] 112-113
1887,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"5,822","16,300","5,822",7394,0.787,0.787,Ivory,SABC [1886-1900] 112-113
1888,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"4,008","13,359","4,008",6060,0.661,0.661,Ivory,SABC [1886-1900] 112-113
1889,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"4,093","13,642","4,093",6188,0.661,0.661,Ivory,SABC [1886-1900] 112-113
1890,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"4,183","12,477","4,183",5659,0.739,0.739,Ivory,SABC [1886-1900] 112-113
1891,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"3,569","12,473","3,569",5658,0.631,0.631,Ivory,SABC [1891-1905] 118-119
1892,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,526","9,665","2,526",4384,0.576,0.576,Ivory,SABC [1891-1905] 118-119
1893,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,214","8,694","2,214",3944,0.561,0.561,Ivory,SABC [1891-1905] 118-119
1894,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,086","9,601","2,086",4355,0.479,0.479,Ivory,SABC [1891-1905] 118-119
1895,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,307","8,167","2,307",3704,0.623,0.623,Ivory,SABC [1891-1905] 118-119
1896,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,735,"4,561",735,2069,0.355,0.355,Ivory,SABC [1896-1910] 132-133
1897,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,825,"3,706",825,1681,0.491,0.491,Ivory,SABC [1896-1910] 132-133
1898,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,653,"4,359",653,1977,0.33,0.33,Ivory,SABC [1896-1910] 132-133
1899,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,870,"4,509",870,2045,0.425,0.425,Ivory,SABC [1896-1910] 132-133
1900,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,679,"3,779",679,1714,0.396,0.396,Ivory,SABC [1896-1910] 132-133
1901,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,827,"3,916",827,1776,0.466,0.466,Ivory,SABC [1896-1910] 132-133
1902,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,612,"3,284",612,1490,0.411,0.411,Ivory,SABC [1896-1910] 132-133
1903,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,751,"3,301",751,1497,0.502,0.502,Ivory,SABC [1896-1910] 132-133
1904,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,928,"4,987",928,2262,0.41,0.41,Ivory,SABC [1896-1910] 132-133
1905,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"1,328","5,735","1,328",2601,0.511,0.511,Ivory,SABC [1896-1910] 132-133
1906,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,568","11,894","2,568",5395,0.476,0.476,Ivory,SABC [1896-1910] 132-133
1907,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,308","8,129","2,308",3687,0.626,0.626,Ivory,SABC [1896-1910] 132-133
1908,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,790","8,524","2,790",3866,0.722,0.722,Ivory,SABC [1896-1910] 132-133
1909,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,485","7,752","2,485",3516,0.707,0.707,Ivory,SABC [1896-1910] 132-133
1910,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,"2,003","6,119","2,003",2776,0.722,0.722,Ivory,SABC [1896-1910] 132-133
1914,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"2,904",87,"2,904",0,0,0,Ivory,BB [1914]w170-171. NGA
1915,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"1,280",66,"1,280",0,0,0,Ivory,BB [1915]w160-161. NGA
1919,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"7,998",367,"7,998",0,0,0,Ivory,BB [1919]w160-161. NGA
1920,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"10,895",216,"10,895",0,0,0,Ivory,BB [1920] 63  NGA
1921,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"1,323",41,"1,323",0,0,0,Ivory,BB [1921]74  NGA
1922,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,"2,062",45,"2,062",0,0,0,Ivory,BB [1922]286  NGA
1923,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,326,7,326,0,0,0,Ivory,BB [1923] p 354 NGA
1924,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,722,19,722,0,0,0,Ivory,BB [1924] p 309 NGA
1925,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,626,14,626,0,0,0,Ivory,BB [1925] p 321 NGA
1926,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,218,3,218,0,0,0,Ivory,BB [1926] p 337 NGA
1927,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,132,3,132,0,0,0,Ivory,BB [1927] p 359 NGA
1929,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,250,4,250,0,0,0,Ivory,BB [1929] p 381 NGA
1930,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,59,2,59,0,0,0,Ivory,BB [1930] p 383 NGA
1931,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,250,12,250,0,0,0,Ivory,BB [1931] p 385 NGA
1932,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,876,16,876,0,0,0,Ivory,BB [1932] p T15 NGA
1934,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,65,12,65,0,0,0,Ivory,BB [1934] p T16 NGA
1935,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,143,15,143,0,0,0,Ivory,BB [1935] p T16 NGA
1936,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,1,0,1,0,0,0,Ivory,BB [1936] p T16 NGA
1937,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,37,184,37,0,0,0,Ivory,BB [1937] p T16 NGA
1938,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,CWT,,0,120,13,120,0,0,0,Ivory,BB [1938] p T16 NGA
1939,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,5,150,5,68,0.073,0.073,Ivory,BB [1939] p 204 NGA
1940,GB,1,WA,NGA,Nigeria,_0507,Ivory,_EX,LBS,KG,0.45,25,6,25,3,9.186,9.186,Ivory,BB [1940] p 129 NGA
1867,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,076",173,"2,076",175776,0.012,0.012,Groundnuts,BB [1867] 236-237
1868,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","4,100",391,"4,100",397274,0.01,0.01,Groundnuts,BB [1868] 247-248
1869,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,941",174,"1,941",176792,0.011,0.011,Groundnuts,BB [1869] 284-285
1870,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",10,1,10,1016,0.01,0.01,Groundnuts,BB [1870] 302-303
1871,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",343,17,343,17273,0.02,0.02,Groundnuts,BB [1871] 306-307
1872,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",149,7,149,7112,0.021,0.021,Groundnuts,BB [1872] 182-183
1879,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",15,1,15,1016,0.015,0.015,Groundnuts,BB [1879] 160-161
1881,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",443,46,443,46738,0.009,0.009,Groundnuts,BB [1881] 202-203
1882,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",64,4,64,4064,0.016,0.016,Groundnuts,BB [1882] 204-205
1883,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",123,16,123,16257,0.008,0.008,Groundnuts,BB [1883] 228-229
1884,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",94,12,94,12193,0.008,0.008,Groundnuts,BB [1884] 86-87
1885,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,4,7,4,356,0.011,0.011,Groundnuts,BB [1885] 64
1896,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,,0,12,10,12,0,0,0,Groundnuts,BB [1896] 88
1898,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",6,2,6,2032,0.003,0.003,Groundnuts,BB [1898] 93
1899,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05",5,1,5,813,0.006,0.006,Groundnuts,BB [1899] 97
1900,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"3,704","11,979","3,704",608561,0.006,0.006,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1900] 155-156
1901,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"1,202","4,196","1,202",213167,0.006,0.006,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1901] 174-175
1902,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"1,917","6,432","1,917",326761,0.006,0.006,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1902] 199-200
1903,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"2,732","9,363","2,732",475662,0.006,0.006,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1903] W47-W48
1904,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"4,998","15,414","4,998",783067,0.006,0.006,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1904] W53-W54
1905,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"6,955","15,800","6,955",802677,0.009,0.009,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1905] W47-W48
1906,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"13,486","33,216","13,486",1687451,0.008,0.008,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1906] W59-W60
1907,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"17,529","38,714","17,529",1966762,0.009,0.009,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1907] W53-W54
1908,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,CWTL,KG,50.8,"14,871","33,072","14,871",1680135,0.009,0.009,Groundnuts; Protectorate of Southern Nigeria,BB SNGA [1908] W67-W68
1909,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","14,503","1,615","14,503",1640916,0.009,0.009,Groundnuts,SABC [1909-1923] 173-174
1910,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","8,733",995,"8,733",1010967,0.009,0.009,Groundnuts,SABC [1909-1923] 173-174
1911,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","10,376","1,179","10,376",1197919,0.009,0.009,Groundnuts,SABC [1909-1923] 173-174
1912,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","18,930","2,518","18,930",2558406,0.007,0.007,Groundnuts,SABC [1909-1923] 173-174
1913,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","174,716","19,288","174,716",19597513,0.009,0.009,Groundnuts,SABC [1909-1923] 173-174
1914,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","179,219","16,997","179,219",17269749,0.01,0.01,Groundnuts,SABC [1909-1923] 173-174
1915,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","72,178","8,910","72,178",9052978,0.008,0.008,Groundnuts,SABC [1909-1923] 173-174
1916,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","473,653","50,368","473,653",51176251,0.009,0.009,Groundnuts,SABC [1909-1923] 173-174
1917,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","710,308","50,334","710,308",51141705,0.014,0.014,Groundnuts,SABC [1909-1923] 173-174
1918,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","929,137","57,554","929,137",58477564,0.016,0.016,Groundnuts,SABC [1909-1923] 173-174
1919,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","698,702","39,334","698,702",39965189,0.017,0.017,Groundnuts,SABC [1909-1923] 173-174
1920,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,119,688","45,409","1,119,688",46137674,0.024,0.024,Groundnuts,SABC [1909-1923] 173-174
1921,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,111,822","50,979","1,111,822",51797055,0.021,0.021,Groundnuts,SABC [1909-1923] 173-174
1922,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","480,992","23,890","480,992",24273361,0.02,0.02,Groundnuts,SABC [1909-1923] 173-174
1923,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","403,059","22,887","403,059",23254266,0.017,0.017,Groundnuts,SABC [1909-1923] 173-174
1924,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,461,000","78,000","1,461,000",79251659,0.018,0.018,Groundnuts,SABC [1924-1933] 206
1925,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,394,000","127,000","2,394,000",129037957,0.019,0.019,Groundnuts,SABC [1924-1933] 206
1926,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,343,000","127,000","2,343,000",129037957,0.018,0.018,Groundnuts,SABC [1924-1933] 206
1927,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,630,000","91,000","1,630,000",92460269,0.018,0.018,Groundnuts,SABC [1924-1933] 206
1928,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,849,000","103,000","1,849,000",104652832,0.018,0.018,Groundnuts,SABC [1924-1933] 206
1929,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,466,000","147,000","2,466,000",149358896,0.017,0.017,Groundnuts,SABC [1924-1933] 206
1930,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,196,000","146,000","2,196,000",148342849,0.015,0.015,Groundnuts,SABC [1924-1933] 206
1931,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,511,000","160,000","1,511,000",162567505,0.009,0.009,Groundnuts,SABC [1924-1933] 206
1932,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,874,000","188,000","1,874,000",191016819,0.01,0.01,Groundnuts,SABC [1924-1933] 206
1933,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,064,000","205,000","2,064,000",208289616,0.01,0.01,Groundnuts,SABC [1924-1933] 206
1934,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,860,000","245,000","1,860,000",248931493,0.007,0.007,Groundnuts,SABC [1933-1947] 122
1935,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,093,000","184,000","2,093,000",186952631,0.011,0.011,Groundnuts,SABC [1933-1947] 122
1936,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,847,000","218,000","2,847,000",221498226,0.013,0.013,Groundnuts,SABC [1933-1947] 122
1937,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","4,058,000","326,000","4,058,000",331231292,0.012,0.012,Groundnuts,SABC [1933-1947] 122
1938,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,306,000","180,000","1,306,000",182888444,0.007,0.007,Groundnuts,SABC [1933-1947] 122
1939,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,048,000","147,000","1,048,000",149358896,0.007,0.007,Groundnuts,SABC [1933-1947] 122
1940,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,476,000","169,000","1,476,000",171711928,0.009,0.009,Groundnuts,SABC [1936-1945] 124
1941,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,140,000","247,000","2,140,000",250963586,0.009,0.009,Groundnuts,SABC [1936-1945] 124
1942,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,688,000","194,000","1,688,000",197113100,0.009,0.009,Groundnuts,SABC [1936-1945] 124
1943,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","1,475,000","143,000","1,475,000",145294708,0.01,0.01,Groundnuts,SABC [1936-1945] 124
1944,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,013,000","156,000","2,013,000",158503318,0.013,0.013,Groundnuts,SABC [1936-1945] 124
1945,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","2,696,000","176,000","2,696,000",178824256,0.015,0.015,Groundnuts,SABC [1933-1947] 122
1946,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","5,675,000","286,000","5,675,000",290589416,0.02,0.02,Groundnuts,SABC [1933-1947] 122
1947,GB,1,WA,NGA,Nigeria,_1202,Groundnuts,_EX,TONL,KG,"1,016.05","6,270,000","256,000","6,270,000",260108009,0.024,0.024,Groundnuts,SABC [1933-1947] 122
1863,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","25,272","2,664","25,272",2706749,0.009,0.009,Palm kernels,BB [1863] 302-303
1865,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","19,150","2,631","19,150",2673219,0.007,0.007,Palm Kernels,SABC [1864-1878] 64-65
1866,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","61,685","7,216","61,685",7331794,0.008,0.008,Palm Kernels,SABC [1864-1878] 64-65
1867,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","221,303","13,618","221,303",13836527,0.016,0.016,Palm Kernels,BB [1867] 240-241
1868,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","240,692","15,498","240,692",15746695,0.015,0.015,Palm Kernels,SABC [1864-1878] 64-65
1869,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","324,413","20,394","324,413",20721261,0.016,0.016,Palm Kernels,SABC [1864-1878] 64-65
1870,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","215,299","15,894","215,299",16149050,0.013,0.013,Palm Kernels,SABC [1870-1884] 72-73
1871,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","288,622","19,374","288,622",19684893,0.015,0.015,Palm Kernels,SABC [1870-1884] 72-73
1872,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","283,712","16,870","283,712",17140711,0.017,0.017,Palm Kernels,SABC [1870-1884] 72-73
1873,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","193,720","16,410","193,720",16673330,0.012,0.012,Palm Kernels,SABC [1870-1884] 72-73
1874,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","275,719","25,191","275,719",25595238,0.011,0.011,Palm Kernels,SABC [1870-1884] 72-73
1875,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","287,112","26,454","287,112",26878505,0.011,0.011,Palm Kernels,SABC [1870-1884] 72-73
1876,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","331,854","30,306","331,854",30792318,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1877,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","358,592","30,875","358,592",31370448,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1878,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","317,950","27,873","317,950",28320275,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1879,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","319,444","27,839","319,444",28285730,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1880,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","346,147","29,632","346,147",30107502,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1881,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","221,634","20,801","221,634",21134792,0.01,0.01,Palm Kernels,SABC [1876-1890] 78-79
1882,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","261,184","28,592","261,184",29050813,0.009,0.009,Palm Kernels,SABC [1876-1890] 78-79
1883,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","278,303","25,821","278,303",26235347,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1884,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","327,347","29,773","327,347",30250765,0.011,0.011,Palm Kernels,SABC [1876-1890] 78-79
1885,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","282,293","30,805","282,293",31299325,0.009,0.009,Palm Kernels,SABC [1876-1890] 78-79
1886,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","255,422","34,812","255,422",35370625,0.007,0.007,Palm Kernels,SABC [1886-1900] 112-113
1887,GB,1,WA,NGA,Nigeria,_1207,Palm kernels,_EX,TONL,KG,"1,016.05","266,960","35,784","266,960",36358223,0.007,0.007,Palm Kernels,SABC [1886-1900] 112-113
